SEQN,RIDAGEYR,RIAGENDR
110158,1,Male
110159,45,Male
110160,13,Male
110161,52,Female
110162,15,Male
110163,13,Female
110164,1,Female
110165,54,Male
110166,16,Female
110167,29,Female
110168,54,Female
110169,30,Male
110170,4,Male
110171,22,Female
110172,53,Female
110173,27,Male
110174,25,Male
110175,30,Male
110176,38,Female
110177,5,Female
110178,57,Female
110179,9,Female
110180,80,Male
110181,12,Female
110182,61,Female
110183,4,Male
110184,59,Female
110185,80,Female
110186,27,Female
110187,58,Female
110188,63,Female
110189,0,Female
110190,19,Female
110191,80,Male
110192,9,Male
110193,18,Female
110194,74,Female
110195,14,Male
110196,67,Male
110197,10,Male
110198,35,Male
110199,17,Male
110200,60,Female
110201,37,Male
110202,8,Male
110203,12,Male
110204,70,Male
110205,13,Male
110206,37,Male
110207,52,Female
110208,57,Female
110209,5,Female
110210,0,Male
110211,43,Female
110212,2,Female
110213,25,Female
110214,32,Female
110215,0,Female
110216,10,Male
110217,60,Female
110218,28,Female
110219,2,Male
110220,0,Male
110221,80,Male
110222,18,Male
110223,71,Male
110224,34,Female
110225,17,Male
110226,26,Female
110227,7,Female
110228,44,Male
110229,9,Female
110230,6,Male
110231,43,Male
110232,62,Male
110233,5,Male
110234,40,Female
110235,41,Male
110236,39,Male
110237,14,Female
110238,2,Female
110239,16,Male
110240,37,Male
110241,60,Male
110242,80,Male
110243,29,Female
110244,10,Male
110245,12,Female
110246,80,Female
110247,31,Female
110248,29,Female
110249,13,Female
110250,34,Male
110251,60,Female
110252,70,Male
110253,1,Male
110254,60,Male
110255,11,Male
110256,1,Female
110257,0,Male
110258,70,Male
110259,2,Female
110260,11,Male
110261,8,Male
SEQN,RIDAGEYR,RIAGENDR
83732,62,Male
83733,53,Male
83734,78,Male
83735,56,Female
83736,42,Female
83737,72,Female
83738,11,Female
83739,4,Male
83740,1,Male
83741,22,Male
83742,32,Female
83743,18,Male
83744,56,Male
83745,15,Female
83746,4,Female
83747,46,Male
83748,3,Male
83749,17,Female
83750,45,Male
83751,16,Female
83752,30,Female
83753,15,Male
83754,67,Female
83755,67,Male
83756,16,Male
83757,57,Female
83758,80,Male
83759,19,Female
83760,3,Female
83761,24,Female
83762,27,Female
83763,2,Female
83764,14,Male
83765,0,Female
83766,10,Female
83767,54,Female
83768,15,Female
83769,49,Male
83770,15,Male
83771,2,Female
83772,2,Female
83773,80,Female
83774,13,Female
83775,69,Female
83776,58,Female
83777,56,Male
83778,16,Male
83779,1,Female
83780,4,Male
83781,27,Female
83782,0,Female
83783,17,Male
83784,22,Male
83785,60,Female
83786,51,Male
83787,68,Female
83788,69,Female
83789,66,Male
83790,56,Male
83791,80,Female
83792,3,Female
83793,11,Female
83794,10,Female
83795,5,Male
83796,4,Female
83797,1,Female
83798,0,Female
83799,37,Female
83800,10,Male
83801,80,Female
83802,29,Female
83803,27,Male
83804,1,Male
83805,7,Female
83806,2,Female
83807,10,Female
83808,4,Male
83809,20,Female
83810,6,Female
83811,7,Female
83812,68,Female
83813,24,Male
83814,11,Female
83815,15,Female
83816,27,Male
83817,42,Male
83818,80,Female
83819,16,Female
83820,70,Male
83821,80,Male
83822,20,Female
83823,29,Female
83824,23,Male
83825,16,Female
83826,6,Male
83827,61,Male
83828,39,Female
83829,50,Male
83830,15,Male
83831,15,Female
83832,50,Female
83833,14,Male
83834,69,Male
83835,13,Female
83836,18,Female
83837,45,Female
83838,8,Female
83839,13,Male
83840,0,Female
83841,13,Male
83842,1,Male
83843,80,Male
83844,27,Male
83845,44,Female
83846,41,Female
83847,18,Male
83848,10,Male
83849,71,Male
83850,13,Male
83851,37,Female
83852,0,Female
83853,49,Female
83854,46,Female
83855,12,Female
83856,30,Male
83857,31,Female
83858,0,Male
83859,2,Male
83860,41,Male
83861,80,Male
83862,19,Female
83863,35,Male
83864,4,Male
83865,21,Female
83866,40,Male
83867,13,Male
83868,11,Female
83869,67,Female
83870,48,Male
83871,30,Female
83872,63,Male
83873,4,Male
83874,54,Male
83875,42,Female
83876,71,Female
83877,13,Female
83878,10,Male
83879,14,Female
83880,79,Female
83881,32,Female
83882,4,Female
83883,80,Female
83884,61,Male
83885,38,Female
83886,74,Male
83887,51,Female
83888,3,Male
83889,26,Male
83890,18,Female
83891,54,Female
83892,2,Female
83893,68,Female
83894,60,Male
83895,80,Female
83896,9,Female
83897,29,Female
83898,55,Male
83899,27,Male
83900,52,Female
83901,10,Female
83902,49,Male
83903,47,Female
83904,80,Female
83905,9,Male
83906,11,Female
83907,22,Male
83908,51,Male
83909,49,Female
83910,37,Male
83911,43,Female
83912,1,Male
83913,43,Male
83914,23,Female
83915,71,Male
83916,8,Female
83917,17,Female
83918,15,Male
83919,19,Male
83920,68,Female
83921,10,Female
83922,1,Male
83923,1,Female
83924,48,Female
83925,74,Female
83926,66,Male
83927,66,Female
83928,62,Female
83929,10,Female
83930,17,Male
83931,37,Male
83932,80,Female
83933,31,Female
83934,27,Female
83935,44,Female
83936,12,Male
83937,75,Female
83938,45,Male
83939,0,Female
83940,16,Male
83941,71,Male
83942,0,Male
83943,17,Female
83944,75,Male
83945,9,Female
83946,43,Male
83947,33,Female
83948,13,Female
83949,78,Female
83950,55,Male
83951,24,Male
83952,14,Female
83953,46,Female
83954,53,Male
83955,47,Male
83956,0,Female
83957,0,Female
83958,47,Female
83959,22,Female
83960,12,Male
83961,44,Female
83962,28,Female
83963,44,Female
83964,72,Female
83965,49,Male
83966,27,Male
83967,40,Male
83968,11,Male
83969,21,Female
83970,9,Male
83971,26,Female
83972,10,Female
83973,63,Male
83974,2,Female
83975,65,Female
83976,80,Male
83977,80,Female
83978,8,Female
83979,15,Male
83980,10,Female
83981,15,Male
83982,25,Male
83983,71,Female
83984,6,Female
83985,55,Male
83986,40,Male
83987,68,Male
83988,21,Male
83989,37,Female
83990,79,Female
83991,14,Female
83992,68,Male
83993,41,Female
83994,60,Female
83995,43,Male
83996,60,Female
83997,13,Male
83998,31,Female
83999,71,Male
84000,2,Male
84001,54,Female
84002,48,Male
84003,1,Female
84004,14,Female
84005,26,Male
84006,45,Female
84007,27,Female
84008,62,Female
84009,9,Female
84010,68,Female
84011,32,Male
84012,24,Male
84013,14,Male
84014,53,Male
84015,73,Male
84016,41,Female
84017,7,Female
84018,27,Male
84019,54,Male
84020,2,Male
84021,29,Female
84022,60,Female
84023,19,Female
84024,4,Male
84025,18,Female
84026,44,Male
84027,2,Male
84028,61,Female
84029,28,Female
84030,46,Male
84031,2,Female
84032,51,Male
84033,41,Female
84034,25,Female
84035,10,Male
84036,36,Male
84037,66,Male
84038,23,Female
84039,36,Male
84040,62,Male
84041,71,Female
84042,75,Male
84043,0,Female
84044,58,Female
84045,10,Female
84046,45,Female
84047,72,Female
84048,0,Male
84049,11,Male
84050,79,Female
84051,55,Female
84052,8,Male
84053,1,Female
84054,17,Male
84055,64,Female
84056,14,Female
84057,3,Male
84058,21,Female
84059,4,Female
84060,0,Female
84061,50,Female
84062,45,Female
84063,14,Male
84064,0,Female
84065,48,Female
84066,14,Female
84067,0,Female
84068,59,Male
84069,61,Female
84070,40,Male
84071,72,Female
84072,27,Female
84073,39,Female
84074,26,Female
84075,62,Male
84076,20,Male
84077,46,Female
84078,9,Female
84079,10,Female
84080,2,Male
84081,0,Female
84082,24,Female
84083,5,Male
84084,4,Male
84085,7,Female
84086,45,Male
84087,36,Male
84088,45,Female
84089,53,Male
84090,26,Female
84091,60,Female
84092,58,Female
84093,16,Female
84094,73,Female
84095,61,Female
84096,9,Female
84097,7,Female
84098,26,Male
84099,74,Male
84100,13,Male
84101,80,Male
84102,13,Female
84103,33,Male
84104,1,Female
84105,28,Male
84106,57,Male
84107,60,Female
84108,63,Male
84109,66,Male
84110,28,Male
84111,58,Male
84112,46,Male
84113,7,Male
84114,59,Male
84115,80,Male
84116,1,Female
84117,11,Male
84118,72,Female
84119,52,Male
84120,67,Male
84121,18,Male
84122,54,Male
84123,8,Male
84124,1,Female
84125,72,Female
84126,38,Male
84127,12,Female
84128,46,Female
84129,80,Male
84130,26,Female
84131,4,Male
84132,3,Female
84133,5,Male
84134,13,Male
84135,0,Male
84136,8,Male
84137,28,Female
84138,1,Female
84139,78,Female
84140,21,Female
84141,10,Female
84142,24,Male
84143,35,Female
84144,8,Male
84145,2,Female
84146,4,Male
84147,78,Male
84148,1,Female
84149,9,Male
84150,3,Male
84151,53,Female
84152,46,Female
84153,6,Male
84154,10,Male
84155,14,Female
84156,29,Female
84157,45,Male
84158,5,Male
84159,4,Male
84160,45,Female
84161,1,Female
84162,1,Female
84163,3,Female
84164,7,Female
84165,57,Male
84166,67,Female
84167,46,Male
84168,61,Male
84169,43,Male
84170,46,Male
84171,30,Female
84172,20,Male
84173,52,Male
84174,54,Female
84175,4,Female
84176,7,Female
84177,77,Male
84178,80,Male
84179,7,Female
84180,33,Male
84181,35,Male
84182,41,Female
84183,80,Female
84184,58,Male
84185,37,Male
84186,45,Male
84187,25,Female
84188,61,Female
84189,62,Female
84190,6,Male
84191,12,Female
84192,27,Female
84193,0,Female
84194,58,Female
84195,45,Male
84196,32,Male
84197,59,Male
84198,12,Male
84199,2,Male
84200,24,Female
84201,78,Male
84202,19,Male
84203,21,Male
84204,10,Male
84205,51,Male
84206,16,Male
84207,5,Female
84208,67,Female
84209,4,Female
84210,13,Female
84211,18,Male
84212,67,Female
84213,9,Female
84214,4,Female
84215,14,Female
84216,65,Male
84217,59,Female
84218,56,Male
84219,31,Male
84220,36,Male
84221,16,Female
84222,44,Male
84223,1,Male
84224,56,Female
84225,60,Male
84226,64,Male
84227,36,Male
84228,38,Male
84229,43,Female
84230,28,Female
84231,75,Female
84232,61,Male
84233,17,Male
84234,40,Female
84235,47,Female
84236,75,Male
84237,3,Male
84238,25,Female
84239,74,Male
84240,0,Female
84241,50,Male
84242,42,Female
84243,16,Female
84244,0,Female
84245,43,Female
84246,57,Female
84247,16,Female
84248,29,Female
84249,0,Male
84250,0,Male
84251,20,Male
84252,10,Male
84253,14,Female
84254,10,Female
84255,1,Male
84256,63,Male
84257,0,Male
84258,7,Female
84259,5,Male
84260,60,Male
84261,2,Male
84262,0,Female
84263,7,Male
84264,61,Male
84265,76,Male
84266,0,Female
84267,58,Male
84268,2,Female
84269,26,Male
84270,12,Male
84271,67,Male
84272,11,Male
84273,63,Male
84274,11,Male
84275,1,Male
84276,26,Female
84277,28,Female
84278,14,Female
84279,56,Female
84280,77,Male
84281,12,Male
84282,18,Female
84283,9,Female
84284,70,Female
84285,44,Female
84286,13,Female
84287,34,Male
84288,10,Female
84289,4,Male
84290,30,Male
84291,36,Female
84292,54,Female
84293,41,Male
84294,23,Male
84295,58,Female
84296,7,Female
84297,12,Male
84298,36,Female
84299,51,Male
84300,25,Female
84301,72,Male
84302,74,Male
84303,68,Female
84304,8,Male
84305,36,Female
84306,0,Female
84307,8,Male
84308,41,Female
84309,66,Male
84310,15,Male
84311,47,Female
84312,0,Male
84313,9,Female
84314,14,Male
84315,60,Male
84316,45,Female
84317,11,Female
84318,39,Male
84319,57,Female
84320,2,Male
84321,62,Female
84322,40,Male
84323,21,Female
84324,59,Male
84325,17,Female
84326,13,Male
84327,63,Male
84328,16,Male
84329,38,Male
84330,14,Female
84331,14,Male
84332,62,Female
84333,0,Male
84334,2,Female
84335,6,Male
84336,80,Female
84337,7,Male
84338,50,Female
84339,3,Female
84340,16,Female
84341,7,Male
84342,9,Female
84343,3,Male
84344,2,Male
84345,2,Male
84346,3,Female
84347,28,Female
84348,2,Male
84349,39,Female
84350,4,Male
84351,6,Female
84352,0,Female
84353,54,Male
84354,80,Male
84355,0,Female
84356,8,Male
84357,25,Male
84358,2,Female
84359,72,Female
84360,55,Male
84361,31,Female
84362,1,Female
84363,36,Female
84364,27,Male
84365,0,Male
84366,48,Female
84367,0,Male
84368,42,Male
84369,31,Female
84370,6,Female
84371,15,Male
84372,70,Female
84373,0,Female
84374,74,Female
84375,60,Male
84376,55,Male
84377,70,Male
84378,45,Female
84379,35,Male
84380,35,Male
84381,80,Male
84382,16,Male
84383,32,Female
84384,34,Male
84385,18,Male
84386,0,Female
84387,4,Male
84388,65,Male
84389,66,Female
84390,33,Male
84391,18,Male
84392,53,Female
84393,35,Male
84394,45,Female
84395,25,Female
84396,38,Female
84397,2,Male
84398,38,Male
84399,17,Female
84400,60,Female
84401,19,Female
84402,27,Female
84403,61,Male
84404,31,Male
84405,33,Male
84406,9,Male
84407,5,Female
84408,4,Female
84409,47,Female
84410,28,Female
84411,23,Male
84412,25,Female
84413,41,Male
84414,16,Male
84415,2,Female
84416,8,Male
84417,18,Female
84418,75,Male
84419,35,Female
84420,27,Male
84421,12,Male
84422,6,Male
84423,59,Male
84424,69,Male
84425,51,Female
84426,51,Male
84427,64,Male
84428,3,Male
84429,45,Female
84430,9,Male
84431,46,Male
84432,9,Male
84433,18,Male
84434,31,Male
84435,80,Female
84436,16,Male
84437,48,Female
84438,9,Female
84439,10,Female
84440,30,Female
84441,51,Female
84442,34,Female
84443,64,Male
84444,36,Female
84445,9,Male
84446,14,Male
84447,77,Male
84448,26,Female
84449,3,Male
84450,18,Female
84451,51,Male
84452,56,Female
84453,26,Male
84454,60,Female
84455,66,Female
84456,42,Female
84457,19,Female
84458,0,Male
84459,31,Female
84460,14,Male
84461,15,Female
84462,35,Female
84463,59,Male
84464,69,Male
84465,7,Female
84466,19,Female
84467,28,Male
84468,15,Male
